Layer,Parameter,Weight
Layer 4106,Parameter 2,[[-0.68602014]]
Layer 4106,Parameter 3,[-0.6740458]
Layer 4107,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4107,Parameter 1,[0.4031271]
Layer 4107,Parameter 2,[[-0.68602014]]
Layer 4107,Parameter 3,[-0.6740458]
Layer 4108,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4108,Parameter 1,[0.4031271]
Layer 4108,Parameter 2,[[-0.68602014]]
Layer 4108,Parameter 3,[-0.6740458]
Layer 4109,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4109,Parameter 1,[0.4031271]
Layer 4109,Parameter 2,[[-0.68602014]]
Layer 4109,Parameter 3,[-0.6740458]
Layer 4110,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4110,Parameter 1,[0.4031271]
Layer 4110,Parameter 2,[[-0.68602014]]
Layer 4110,Parameter 3,[-0.6740458]
Layer 4111,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4111,Parameter 1,[0.4031271]
Layer 4111,Parameter 2,[[-0.68602014]]
Layer 4111,Parameter 3,[-0.6740458]
Layer 4112,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4112,Parameter 1,[0.4031271]
Layer 4112,Parameter 2,[[-0.68602014]]
Layer 4112,Parameter 3,[-0.6740458]
Layer 4113,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4113,Parameter 1,[0.4031271]
Layer 4113,Parameter 2,[[-0.68602014]]
Layer 4113,Parameter 3,[-0.6740458]
Layer 4114,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4114,Parameter 1,[0.4031271]
Layer 4114,Parameter 2,[[-0.68602014]]
Layer 4114,Parameter 3,[-0.6740458]
Layer 4115,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4115,Parameter 1,[0.4031271]
Layer 4115,Parameter 2,[[-0.68602014]]
Layer 4115,Parameter 3,[-0.6740458]
Layer 4116,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4116,Parameter 1,[0.4031271]
Layer 4116,Parameter 2,[[-0.68602014]]
Layer 4116,Parameter 3,[-0.6740458]
Layer 4117,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4117,Parameter 1,[0.4031271]
Layer 4117,Parameter 2,[[-0.68602014]]
Layer 4117,Parameter 3,[-0.6740458]
Layer 4118,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4118,Parameter 1,[0.4031271]
Layer 4118,Parameter 2,[[-0.68602014]]
Layer 4118,Parameter 3,[-0.6740458]
Layer 4119,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4119,Parameter 1,[0.4031271]
Layer 4119,Parameter 2,[[-0.68602014]]
Layer 4119,Parameter 3,[-0.6740458]
Layer 4120,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4120,Parameter 1,[0.4031271]
Layer 4120,Parameter 2,[[-0.68602014]]
Layer 4120,Parameter 3,[-0.6740458]
Layer 4121,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4121,Parameter 1,[0.4031271]
Layer 4121,Parameter 2,[[-0.68602014]]
Layer 4121,Parameter 3,[-0.6740458]
Layer 4122,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4122,Parameter 1,[0.4031271]
Layer 4122,Parameter 2,[[-0.68602014]]
Layer 4122,Parameter 3,[-0.6740458]
Layer 4123,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4123,Parameter 1,[0.4031271]
Layer 4123,Parameter 2,[[-0.68602014]]
Layer 4123,Parameter 3,[-0.6740458]
Layer 4124,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4124,Parameter 1,[0.4031271]
Layer 4124,Parameter 2,[[-0.68602014]]
Layer 4124,Parameter 3,[-0.6740458]
Layer 4125,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4125,Parameter 1,[0.4031271]
Layer 4125,Parameter 2,[[-0.68602014]]
Layer 4125,Parameter 3,[-0.6740458]
Layer 4126,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4126,Parameter 1,[0.4031271]
Layer 4126,Parameter 2,[[-0.68602014]]
Layer 4126,Parameter 3,[-0.6740458]
Layer 4127,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4127,Parameter 1,[0.4031271]
Layer 4127,Parameter 2,[[-0.68602014]]
Layer 4127,Parameter 3,[-0.6740458]
Layer 4128,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4128,Parameter 1,[0.4031271]
Layer 4128,Parameter 2,[[-0.68602014]]
Layer 4128,Parameter 3,[-0.6740458]
Layer 4129,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4129,Parameter 1,[0.4031271]
Layer 4129,Parameter 2,[[-0.68602014]]
Layer 4129,Parameter 3,[-0.6740458]
Layer 4130,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4130,Parameter 1,[0.4031271]
Layer 4130,Parameter 2,[[-0.68602014]]
Layer 4130,Parameter 3,[-0.6740458]
Layer 4131,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4131,Parameter 1,[0.4031271]
Layer 4131,Parameter 2,[[-0.68602014]]
Layer 4131,Parameter 3,[-0.6740458]
Layer 4132,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4132,Parameter 1,[0.4031271]
Layer 4132,Parameter 2,[[-0.68602014]]
Layer 4132,Parameter 3,[-0.6740458]
Layer 4133,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4133,Parameter 1,[0.4031271]
Layer 4133,Parameter 2,[[-0.68602014]]
Layer 4133,Parameter 3,[-0.6740458]
Layer 4134,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4134,Parameter 1,[0.4031271]
Layer 4134,Parameter 2,[[-0.68602014]]
Layer 4134,Parameter 3,[-0.6740458]
Layer 4135,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4135,Parameter 1,[0.4031271]
Layer 4135,Parameter 2,[[-0.68602014]]
Layer 4135,Parameter 3,[-0.6740458]
Layer 4136,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4136,Parameter 1,[0.4031271]
Layer 4136,Parameter 2,[[-0.68602014]]
Layer 4136,Parameter 3,[-0.6740458]
Layer 4137,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4137,Parameter 1,[0.4031271]
Layer 4137,Parameter 2,[[-0.68602014]]
Layer 4137,Parameter 3,[-0.6740458]
Layer 4138,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4138,Parameter 1,[0.4031271]
Layer 4138,Parameter 2,[[-0.68602014]]
Layer 4138,Parameter 3,[-0.6740458]
Layer 4139,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4139,Parameter 1,[0.4031271]
Layer 4139,Parameter 2,[[-0.68602014]]
Layer 4139,Parameter 3,[-0.6740458]
Layer 4140,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4140,Parameter 1,[0.4031271]
Layer 4140,Parameter 2,[[-0.68602014]]
Layer 4140,Parameter 3,[-0.6740458]
Layer 4141,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4141,Parameter 1,[0.4031271]
Layer 4141,Parameter 2,[[-0.68602014]]
Layer 4141,Parameter 3,[-0.6740458]
Layer 4142,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4142,Parameter 1,[0.4031271]
Layer 4142,Parameter 2,[[-0.68602014]]
Layer 4142,Parameter 3,[-0.6740458]
Layer 4143,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4143,Parameter 1,[0.4031271]
Layer 4143,Parameter 2,[[-0.68602014]]
Layer 4143,Parameter 3,[-0.6740458]
Layer 4144,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4144,Parameter 1,[0.4031271]
Layer 4144,Parameter 2,[[-0.68602014]]
Layer 4144,Parameter 3,[-0.6740458]
Layer 4145,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4145,Parameter 1,[0.4031271]
Layer 4145,Parameter 2,[[-0.68602014]]
Layer 4145,Parameter 3,[-0.6740458]
Layer 4146,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4146,Parameter 1,[0.4031271]
Layer 4146,Parameter 2,[[-0.68602014]]
Layer 4146,Parameter 3,[-0.6740458]
Layer 4147,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4147,Parameter 1,[0.4031271]
Layer 4147,Parameter 2,[[-0.68602014]]
Layer 4147,Parameter 3,[-0.6740458]
Layer 4148,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4148,Parameter 1,[0.4031271]
Layer 4148,Parameter 2,[[-0.68602014]]
Layer 4148,Parameter 3,[-0.6740458]
Layer 4149,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4149,Parameter 1,[0.4031271]
Layer 4149,Parameter 2,[[-0.68602014]]
Layer 4149,Parameter 3,[-0.6740458]
Layer 4150,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4150,Parameter 1,[0.4031271]
Layer 4150,Parameter 2,[[-0.68602014]]
Layer 4150,Parameter 3,[-0.6740458]
Layer 4151,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4151,Parameter 1,[0.4031271]
Layer 4151,Parameter 2,[[-0.68602014]]
Layer 4151,Parameter 3,[-0.6740458]
Layer 4152,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4152,Parameter 1,[0.4031271]
Layer 4152,Parameter 2,[[-0.68602014]]
Layer 4152,Parameter 3,[-0.6740458]
Layer 4153,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4153,Parameter 1,[0.4031271]
Layer 4153,Parameter 2,[[-0.68602014]]
Layer 4153,Parameter 3,[-0.6740458]
Layer 4154,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4154,Parameter 1,[0.4031271]
Layer 4154,Parameter 2,[[-0.68602014]]
Layer 4154,Parameter 3,[-0.6740458]
Layer 4155,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4155,Parameter 1,[0.4031271]
Layer 4155,Parameter 2,[[-0.68602014]]
Layer 4155,Parameter 3,[-0.6740458]
Layer 4156,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4156,Parameter 1,[0.4031271]
Layer 4156,Parameter 2,[[-0.68602014]]
Layer 4156,Parameter 3,[-0.6740458]
Layer 4157,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4157,Parameter 1,[0.4031271]
Layer 4157,Parameter 2,[[-0.68602014]]
Layer 4157,Parameter 3,[-0.6740458]
Layer 4158,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4158,Parameter 1,[0.4031271]
Layer 4158,Parameter 2,[[-0.68602014]]
Layer 4158,Parameter 3,[-0.6740458]
Layer 4159,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4159,Parameter 1,[0.4031271]
Layer 4159,Parameter 2,[[-0.68602014]]
Layer 4159,Parameter 3,[-0.6740458]
Layer 4160,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4160,Parameter 1,[0.4031271]
Layer 4160,Parameter 2,[[-0.68602014]]
Layer 4160,Parameter 3,[-0.6740458]
Layer 4161,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4161,Parameter 1,[0.4031271]
Layer 4161,Parameter 2,[[-0.68602014]]
Layer 4161,Parameter 3,[-0.6740458]
Layer 4162,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4162,Parameter 1,[0.4031271]
Layer 4162,Parameter 2,[[-0.68602014]]
Layer 4162,Parameter 3,[-0.6740458]
Layer 4163,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4163,Parameter 1,[0.4031271]
Layer 4163,Parameter 2,[[-0.68602014]]
Layer 4163,Parameter 3,[-0.6740458]
Layer 4164,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4164,Parameter 1,[0.4031271]
Layer 4164,Parameter 2,[[-0.68602014]]
Layer 4164,Parameter 3,[-0.6740458]
Layer 4165,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4165,Parameter 1,[0.4031271]
Layer 4165,Parameter 2,[[-0.68602014]]
Layer 4165,Parameter 3,[-0.6740458]
Layer 4166,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4166,Parameter 1,[0.4031271]
Layer 4166,Parameter 2,[[-0.68602014]]
Layer 4166,Parameter 3,[-0.6740458]
Layer 4167,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4167,Parameter 1,[0.4031271]
Layer 4167,Parameter 2,[[-0.68602014]]
Layer 4167,Parameter 3,[-0.6740458]
Layer 4168,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4168,Parameter 1,[0.4031271]
Layer 4168,Parameter 2,[[-0.68602014]]
Layer 4168,Parameter 3,[-0.6740458]
Layer 4169,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4169,Parameter 1,[0.4031271]
Layer 4169,Parameter 2,[[-0.68602014]]
Layer 4169,Parameter 3,[-0.6740458]
Layer 4170,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4170,Parameter 1,[0.4031271]
Layer 4170,Parameter 2,[[-0.68602014]]
Layer 4170,Parameter 3,[-0.6740458]
Layer 4171,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4171,Parameter 1,[0.4031271]
Layer 4171,Parameter 2,[[-0.68602014]]
Layer 4171,Parameter 3,[-0.6740458]
Layer 4172,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4172,Parameter 1,[0.4031271]
Layer 4172,Parameter 2,[[-0.68602014]]
Layer 4172,Parameter 3,[-0.6740458]
Layer 4173,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4173,Parameter 1,[0.4031271]
Layer 4173,Parameter 2,[[-0.68602014]]
Layer 4173,Parameter 3,[-0.6740458]
Layer 4174,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4174,Parameter 1,[0.4031271]
Layer 4174,Parameter 2,[[-0.68602014]]
Layer 4174,Parameter 3,[-0.6740458]
Layer 4175,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4175,Parameter 1,[0.4031271]
Layer 4175,Parameter 2,[[-0.68602014]]
Layer 4175,Parameter 3,[-0.6740458]
Layer 4176,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4176,Parameter 1,[0.4031271]
Layer 4176,Parameter 2,[[-0.68602014]]
Layer 4176,Parameter 3,[-0.6740458]
Layer 4177,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4177,Parameter 1,[0.4031271]
Layer 4177,Parameter 2,[[-0.68602014]]
Layer 4177,Parameter 3,[-0.6740458]
Layer 4178,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4178,Parameter 1,[0.4031271]
Layer 4178,Parameter 2,[[-0.68602014]]
Layer 4178,Parameter 3,[-0.6740458]
Layer 4179,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4179,Parameter 1,[0.4031271]
Layer 4179,Parameter 2,[[-0.68602014]]
Layer 4179,Parameter 3,[-0.6740458]
Layer 4180,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4180,Parameter 1,[0.4031271]
Layer 4180,Parameter 2,[[-0.68602014]]
Layer 4180,Parameter 3,[-0.6740458]
Layer 4181,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4181,Parameter 1,[0.4031271]
Layer 4181,Parameter 2,[[-0.68602014]]
Layer 4181,Parameter 3,[-0.6740458]
Layer 4182,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4182,Parameter 1,[0.4031271]
Layer 4182,Parameter 2,[[-0.68602014]]
Layer 4182,Parameter 3,[-0.6740458]
Layer 4183,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4183,Parameter 1,[0.4031271]
Layer 4183,Parameter 2,[[-0.68602014]]
Layer 4183,Parameter 3,[-0.6740458]
Layer 4184,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4184,Parameter 1,[0.4031271]
Layer 4184,Parameter 2,[[-0.68602014]]
Layer 4184,Parameter 3,[-0.6740458]
Layer 4185,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4185,Parameter 1,[0.4031271]
Layer 4185,Parameter 2,[[-0.68602014]]
Layer 4185,Parameter 3,[-0.6740458]
Layer 4186,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4186,Parameter 1,[0.4031271]
Layer 4186,Parameter 2,[[-0.68602014]]
Layer 4186,Parameter 3,[-0.6740458]
Layer 4187,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4187,Parameter 1,[0.4031271]
Layer 4187,Parameter 2,[[-0.68602014]]
Layer 4187,Parameter 3,[-0.6740458]
Layer 4188,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4188,Parameter 1,[0.4031271]
Layer 4188,Parameter 2,[[-0.68602014]]
Layer 4188,Parameter 3,[-0.6740458]
Layer 4189,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4189,Parameter 1,[0.4031271]
Layer 4189,Parameter 2,[[-0.68602014]]
Layer 4189,Parameter 3,[-0.6740458]
Layer 4190,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4190,Parameter 1,[0.4031271]
Layer 4190,Parameter 2,[[-0.68602014]]
Layer 4190,Parameter 3,[-0.6740458]
Layer 4191,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4191,Parameter 1,[0.4031271]
Layer 4191,Parameter 2,[[-0.68602014]]
Layer 4191,Parameter 3,[-0.6740458]
Layer 4192,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4192,Parameter 1,[0.4031271]
Layer 4192,Parameter 2,[[-0.68602014]]
Layer 4192,Parameter 3,[-0.6740458]
Layer 4193,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4193,Parameter 1,[0.4031271]
Layer 4193,Parameter 2,[[-0.68602014]]
Layer 4193,Parameter 3,[-0.6740458]
Layer 4194,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4194,Parameter 1,[0.4031271]
Layer 4194,Parameter 2,[[-0.68602014]]
Layer 4194,Parameter 3,[-0.6740458]
Layer 4195,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4195,Parameter 1,[0.4031271]
Layer 4195,Parameter 2,[[-0.68602014]]
Layer 4195,Parameter 3,[-0.6740458]
Layer 4196,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4196,Parameter 1,[0.4031271]
Layer 4196,Parameter 2,[[-0.68602014]]
Layer 4196,Parameter 3,[-0.6740458]
Layer 4197,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4197,Parameter 1,[0.4031271]
Layer 4197,Parameter 2,[[-0.68602014]]
Layer 4197,Parameter 3,[-0.6740458]
Layer 4198,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4198,Parameter 1,[0.4031271]
Layer 4198,Parameter 2,[[-0.68602014]]
Layer 4198,Parameter 3,[-0.6740458]
Layer 4199,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4199,Parameter 1,[0.4031271]
Layer 4199,Parameter 2,[[-0.68602014]]
Layer 4199,Parameter 3,[-0.6740458]
Layer 4200,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4200,Parameter 1,[0.4031271]
Layer 4200,Parameter 2,[[-0.68602014]]
Layer 4200,Parameter 3,[-0.6740458]
Layer 4201,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4201,Parameter 1,[0.4031271]
Layer 4201,Parameter 2,[[-0.68602014]]
Layer 4201,Parameter 3,[-0.6740458]
Layer 4202,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4202,Parameter 1,[0.4031271]
Layer 4202,Parameter 2,[[-0.68602014]]
Layer 4202,Parameter 3,[-0.6740458]
Layer 4203,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4203,Parameter 1,[0.4031271]
Layer 4203,Parameter 2,[[-0.68602014]]
Layer 4203,Parameter 3,[-0.6740458]
Layer 4204,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4204,Parameter 1,[0.4031271]
Layer 4204,Parameter 2,[[-0.68602014]]
Layer 4204,Parameter 3,[-0.6740458]
Layer 4205,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4205,Parameter 1,[0.4031271]
Layer 4205,Parameter 2,[[-0.68602014]]
Layer 4205,Parameter 3,[-0.6740458]
Layer 4206,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4206,Parameter 1,[0.4031271]
Layer 4206,Parameter 2,[[-0.68602014]]
Layer 4206,Parameter 3,[-0.6740458]
Layer 4207,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4207,Parameter 1,[0.4031271]
Layer 4207,Parameter 2,[[-0.68602014]]
Layer 4207,Parameter 3,[-0.6740458]
Layer 4208,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4208,Parameter 1,[0.4031271]
Layer 4208,Parameter 2,[[-0.68602014]]
Layer 4208,Parameter 3,[-0.6740458]
Layer 4209,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4209,Parameter 1,[0.4031271]
Layer 4209,Parameter 2,[[-0.68602014]]
Layer 4209,Parameter 3,[-0.6740458]
Layer 4210,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4210,Parameter 1,[0.4031271]
Layer 4210,Parameter 2,[[-0.68602014]]
Layer 4210,Parameter 3,[-0.6740458]
Layer 4211,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4211,Parameter 1,[0.4031271]
Layer 4211,Parameter 2,[[-0.68602014]]
Layer 4211,Parameter 3,[-0.6740458]
Layer 4212,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4212,Parameter 1,[0.4031271]
Layer 4212,Parameter 2,[[-0.68602014]]
Layer 4212,Parameter 3,[-0.6740458]
Layer 4213,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4213,Parameter 1,[0.4031271]
Layer 4213,Parameter 2,[[-0.68602014]]
Layer 4213,Parameter 3,[-0.6740458]
Layer 4214,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4214,Parameter 1,[0.4031271]
Layer 4214,Parameter 2,[[-0.68602014]]
Layer 4214,Parameter 3,[-0.6740458]
Layer 4215,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4215,Parameter 1,[0.4031271]
Layer 4215,Parameter 2,[[-0.68602014]]
Layer 4215,Parameter 3,[-0.6740458]
Layer 4216,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4216,Parameter 1,[0.4031271]
Layer 4216,Parameter 2,[[-0.68602014]]
Layer 4216,Parameter 3,[-0.6740458]
Layer 4217,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4217,Parameter 1,[0.4031271]
Layer 4217,Parameter 2,[[-0.68602014]]
Layer 4217,Parameter 3,[-0.6740458]
Layer 4218,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4218,Parameter 1,[0.4031271]
Layer 4218,Parameter 2,[[-0.68602014]]
Layer 4218,Parameter 3,[-0.6740458]
Layer 4219,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4219,Parameter 1,[0.4031271]
Layer 4219,Parameter 2,[[-0.68602014]]
Layer 4219,Parameter 3,[-0.6740458]
Layer 4220,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4220,Parameter 1,[0.4031271]
Layer 4220,Parameter 2,[[-0.68602014]]
Layer 4220,Parameter 3,[-0.6740458]
Layer 4221,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4221,Parameter 1,[0.4031271]
Layer 4221,Parameter 2,[[-0.68602014]]
Layer 4221,Parameter 3,[-0.6740458]
Layer 4222,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4222,Parameter 1,[0.4031271]
Layer 4222,Parameter 2,[[-0.68602014]]
Layer 4222,Parameter 3,[-0.6740458]
Layer 4223,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4223,Parameter 1,[0.4031271]
Layer 4223,Parameter 2,[[-0.68602014]]
Layer 4223,Parameter 3,[-0.6740458]
Layer 4224,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4224,Parameter 1,[0.4031271]
Layer 4224,Parameter 2,[[-0.68602014]]
Layer 4224,Parameter 3,[-0.6740458]
Layer 4225,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4225,Parameter 1,[0.4031271]
Layer 4225,Parameter 2,[[-0.68602014]]
Layer 4225,Parameter 3,[-0.6740458]
Layer 4226,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4226,Parameter 1,[0.4031271]
Layer 4226,Parameter 2,[[-0.68602014]]
Layer 4226,Parameter 3,[-0.6740458]
Layer 4227,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4227,Parameter 1,[0.4031271]
Layer 4227,Parameter 2,[[-0.68602014]]
Layer 4227,Parameter 3,[-0.6740458]
Layer 4228,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4228,Parameter 1,[0.4031271]
Layer 4228,Parameter 2,[[-0.68602014]]
Layer 4228,Parameter 3,[-0.6740458]
Layer 4229,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4229,Parameter 1,[0.4031271]
Layer 4229,Parameter 2,[[-0.68602014]]
Layer 4229,Parameter 3,[-0.6740458]
Layer 4230,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4230,Parameter 1,[0.4031271]
Layer 4230,Parameter 2,[[-0.68602014]]
Layer 4230,Parameter 3,[-0.6740458]
Layer 4231,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4231,Parameter 1,[0.4031271]
Layer 4231,Parameter 2,[[-0.68602014]]
Layer 4231,Parameter 3,[-0.6740458]
Layer 4232,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4232,Parameter 1,[0.4031271]
Layer 4232,Parameter 2,[[-0.68602014]]
Layer 4232,Parameter 3,[-0.6740458]
Layer 4233,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4233,Parameter 1,[0.4031271]
Layer 4233,Parameter 2,[[-0.68602014]]
Layer 4233,Parameter 3,[-0.6740458]
Layer 4234,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4234,Parameter 1,[0.4031271]
Layer 4234,Parameter 2,[[-0.68602014]]
Layer 4234,Parameter 3,[-0.6740458]
Layer 4235,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4235,Parameter 1,[0.4031271]
Layer 4235,Parameter 2,[[-0.68602014]]
Layer 4235,Parameter 3,[-0.6740458]
Layer 4236,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4236,Parameter 1,[0.4031271]
Layer 4236,Parameter 2,[[-0.68602014]]
Layer 4236,Parameter 3,[-0.6740458]
Layer 4237,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4237,Parameter 1,[0.4031271]
Layer 4237,Parameter 2,[[-0.68602014]]
Layer 4237,Parameter 3,[-0.6740458]
Layer 4238,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4238,Parameter 1,[0.4031271]
Layer 4238,Parameter 2,[[-0.68602014]]
Layer 4238,Parameter 3,[-0.6740458]
Layer 4239,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4239,Parameter 1,[0.4031271]
Layer 4239,Parameter 2,[[-0.68602014]]
Layer 4239,Parameter 3,[-0.6740458]
Layer 4240,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4240,Parameter 1,[0.4031271]
Layer 4240,Parameter 2,[[-0.68602014]]
Layer 4240,Parameter 3,[-0.6740458]
Layer 4241,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4241,Parameter 1,[0.4031271]
Layer 4241,Parameter 2,[[-0.68602014]]
Layer 4241,Parameter 3,[-0.6740458]
Layer 4242,Parameter 0,[[-0.01247968  0.0126685 ]]
