Layer,Parameter,Weight
Layer 2125,Parameter 3,[-0.6740458]
Layer 2126,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2126,Parameter 1,[0.4031271]
Layer 2126,Parameter 2,[[-0.68602014]]
Layer 2126,Parameter 3,[-0.6740458]
Layer 2127,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2127,Parameter 1,[0.4031271]
Layer 2127,Parameter 2,[[-0.68602014]]
Layer 2127,Parameter 3,[-0.6740458]
Layer 2128,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2128,Parameter 1,[0.4031271]
Layer 2128,Parameter 2,[[-0.68602014]]
Layer 2128,Parameter 3,[-0.6740458]
Layer 2129,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2129,Parameter 1,[0.4031271]
Layer 2129,Parameter 2,[[-0.68602014]]
Layer 2129,Parameter 3,[-0.6740458]
Layer 2130,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2130,Parameter 1,[0.4031271]
Layer 2130,Parameter 2,[[-0.68602014]]
Layer 2130,Parameter 3,[-0.6740458]
Layer 2131,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2131,Parameter 1,[0.4031271]
Layer 2131,Parameter 2,[[-0.68602014]]
Layer 2131,Parameter 3,[-0.6740458]
Layer 2132,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2132,Parameter 1,[0.4031271]
Layer 2132,Parameter 2,[[-0.68602014]]
Layer 2132,Parameter 3,[-0.6740458]
Layer 2133,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2133,Parameter 1,[0.4031271]
Layer 2133,Parameter 2,[[-0.68602014]]
Layer 2133,Parameter 3,[-0.6740458]
Layer 2134,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2134,Parameter 1,[0.4031271]
Layer 2134,Parameter 2,[[-0.68602014]]
Layer 2134,Parameter 3,[-0.6740458]
Layer 2135,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2135,Parameter 1,[0.4031271]
Layer 2135,Parameter 2,[[-0.68602014]]
Layer 2135,Parameter 3,[-0.6740458]
Layer 2136,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2136,Parameter 1,[0.4031271]
Layer 2136,Parameter 2,[[-0.68602014]]
Layer 2136,Parameter 3,[-0.6740458]
Layer 2137,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2137,Parameter 1,[0.4031271]
Layer 2137,Parameter 2,[[-0.68602014]]
Layer 2137,Parameter 3,[-0.6740458]
Layer 2138,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2138,Parameter 1,[0.4031271]
Layer 2138,Parameter 2,[[-0.68602014]]
Layer 2138,Parameter 3,[-0.6740458]
Layer 2139,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2139,Parameter 1,[0.4031271]
Layer 2139,Parameter 2,[[-0.68602014]]
Layer 2139,Parameter 3,[-0.6740458]
Layer 2140,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2140,Parameter 1,[0.4031271]
Layer 2140,Parameter 2,[[-0.68602014]]
Layer 2140,Parameter 3,[-0.6740458]
Layer 2141,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2141,Parameter 1,[0.4031271]
Layer 2141,Parameter 2,[[-0.68602014]]
Layer 2141,Parameter 3,[-0.6740458]
Layer 2142,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2142,Parameter 1,[0.4031271]
Layer 2142,Parameter 2,[[-0.68602014]]
Layer 2142,Parameter 3,[-0.6740458]
Layer 2143,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2143,Parameter 1,[0.4031271]
Layer 2143,Parameter 2,[[-0.68602014]]
Layer 2143,Parameter 3,[-0.6740458]
Layer 2144,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2144,Parameter 1,[0.4031271]
Layer 2144,Parameter 2,[[-0.68602014]]
Layer 2144,Parameter 3,[-0.6740458]
Layer 2145,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2145,Parameter 1,[0.4031271]
Layer 2145,Parameter 2,[[-0.68602014]]
Layer 2145,Parameter 3,[-0.6740458]
Layer 2146,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2146,Parameter 1,[0.4031271]
Layer 2146,Parameter 2,[[-0.68602014]]
Layer 2146,Parameter 3,[-0.6740458]
Layer 2147,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2147,Parameter 1,[0.4031271]
Layer 2147,Parameter 2,[[-0.68602014]]
Layer 2147,Parameter 3,[-0.6740458]
Layer 2148,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2148,Parameter 1,[0.4031271]
Layer 2148,Parameter 2,[[-0.68602014]]
Layer 2148,Parameter 3,[-0.6740458]
Layer 2149,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2149,Parameter 1,[0.4031271]
Layer 2149,Parameter 2,[[-0.68602014]]
Layer 2149,Parameter 3,[-0.6740458]
Layer 2150,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2150,Parameter 1,[0.4031271]
Layer 2150,Parameter 2,[[-0.68602014]]
Layer 2150,Parameter 3,[-0.6740458]
Layer 2151,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2151,Parameter 1,[0.4031271]
Layer 2151,Parameter 2,[[-0.68602014]]
Layer 2151,Parameter 3,[-0.6740458]
Layer 2152,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2152,Parameter 1,[0.4031271]
Layer 2152,Parameter 2,[[-0.68602014]]
Layer 2152,Parameter 3,[-0.6740458]
Layer 2153,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2153,Parameter 1,[0.4031271]
Layer 2153,Parameter 2,[[-0.68602014]]
Layer 2153,Parameter 3,[-0.6740458]
Layer 2154,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2154,Parameter 1,[0.4031271]
Layer 2154,Parameter 2,[[-0.68602014]]
Layer 2154,Parameter 3,[-0.6740458]
Layer 2155,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2155,Parameter 1,[0.4031271]
Layer 2155,Parameter 2,[[-0.68602014]]
